Market                                  	Brand                                   	Report Period (multiple)                	Cable TV-Units	Cable TV-$$$ (000)	FSI Coupon-Units	FSI Coupon-$$$ (000)	Internet-Units	Internet-$$$ (000)	National Magazine-Units	National Magazine-$$$ (000)	National Newspaper-Units	National Newspaper-$$$ (000)	National Sunday Supplement-Units	National Sunday Supplement-$$$ (000)	Network Radio-Units	Network Radio-$$$ (000)	Network TV-Units	Network TV-$$$ (000)	Outdoor-Units	Outdoor-$$$ (000)	Spanish Language Cable TV-Units	Spanish Language Cable TV-$$$ (000)	Spanish Language Network TV-Units	Spanish Language Network TV-$$$ (000)	Spot Radio-Units	Spot Radio-$$$ (000)	Spot TV-Units	Spot TV-$$$ (000)	Syndicated TV-Units	Syndicated TV-$$$ (000)	Row No.
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/01/09 - 02/07/09 	47	97.466	0	0	0	0	5	2357.823	0	0	0	0	0	0	14	533.4	0	0	0	0	0	0	0	0	247	208.447	0	0	1
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/08/09 - 02/14/09 	54	132.36	0	0	0	0	0	0	0	0	0	0	0	0	11	585.2	0	0	0	0	0	0	0	0	247	196.532	0	0	2
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/15/09 - 02/21/09 	70	252.114	0	0	0	0	0	0	0	0	0	0	0	0	11	549.4	0	0	0	0	0	0	0	0	257	248.754	0	0	3
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/22/09 - 02/28/09 	19	38.73	0	0	0	0	0	0	0	0	0	0	0	0	1	154.8	0	0	0	0	0	0	0	0	28	22.526	0	0	4
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	03/01/09 - 03/07/09 	0	0	0	0	0	0	1	403.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.003	0	0	5
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	03/08/09 - 03/14/09 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	121.2	0	0	0	0	0	0	0	0	2	0.234	0	0	6
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	03/15/09 - 03/21/09 	62	130.212	0	0	0	0	0	0	0	0	0	0	0	0	11	629	0	0	0	0	0	0	0	0	162	104.415	0	0	7
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	03/22/09 - 03/28/09 	75	214.472	0	0	0	0	0	0	0	0	0	0	0	0	12	456.8	0	0	0	0	0	0	0	0	177	125.087	0	0	8
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	03/29/09 - 03/31/09 	16	47.438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4.498	0	0	9
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	04/12/09 - 04/18/09 	0	0	0	0	0	0	0	0	0	0	2	926.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	05/17/09 - 05/23/09 	51	97.296	0	0	0	0	0	0	0	0	0	0	0	0	14	398.6	0	0	0	0	0	0	0	0	203	126.837	5	88.598	11
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	05/24/09 - 05/30/09 	100	274.778	0	0	0	0	0	0	0	0	0	0	0	0	18	985.4	0	0	0	0	0	0	0	0	313	192.76	6	134.36	12
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	05/31/09 - 05/31/09 	21	59.95	0	0	0	0	0	0	0	0	0	0	0	0	1	47.2	0	0	0	0	0	0	0	0	4	1.782	0	0	13
