Market                                  	Brand                                   	Report Period (multiple)                	Creative                                	Commercial Duration                     	advertisement_id	Cable TV-Units	Cable TV-$$$ (000)	Cable TV-GRP: TV Households	Cable TV-IMP(000): TV Households	Cable TV-CPM: TV Households	Cable TV-GRP: P18+	Cable TV-IMP(000): P18+	Cable TV-CPM: P18+	Cable TV-GRP: P21-54	Cable TV-IMP(000): P21-54	Cable TV-CPM: P21-54	Cable TV-GRP: P21-64	Cable TV-IMP(000): P21-64	Cable TV-CPM: P21-64	Network TV-Units	Network TV-$$$ (000)	Network TV-GRP: TV Households	Network TV-IMP(000): TV Households	Network TV-CPM: TV Households	Network TV-GRP: P18+	Network TV-IMP(000): P18+	Network TV-CPM: P18+	Network TV-GRP: P21-54	Network TV-IMP(000): P21-54	Network TV-CPM: P21-54	Network TV-GRP: P21-64	Network TV-IMP(000): P21-64	Network TV-CPM: P21-64	Spanish Language Cable TV-Units	Spanish Language Cable TV-$$$ (000)	Spanish Language Cable TV-GRP: TV Households	Spanish Language Cable TV-IMP(000): TV Households	Spanish Language Cable TV-CPM: TV Households	Spanish Language Cable TV-GRP: P18+	Spanish Language Cable TV-IMP(000): P18+	Spanish Language Cable TV-CPM: P18+	Spanish Language Cable TV-GRP: P21-54	Spanish Language Cable TV-IMP(000): P21-54	Spanish Language Cable TV-CPM: P21-54	Spanish Language Cable TV-GRP: P21-64	Spanish Language Cable TV-IMP(000): P21-64	Spanish Language Cable TV-CPM: P21-64	Spanish Language Network TV-Units	Spanish Language Network TV-$$$ (000)	Spanish Language Network TV-GRP: TV Households	Spanish Language Network TV-IMP(000): TV Households	Spanish Language Network TV-CPM: TV Households	Spanish Language Network TV-GRP: P18+	Spanish Language Network TV-IMP(000): P18+	Spanish Language Network TV-CPM: P18+	Spanish Language Network TV-GRP: P21-54	Spanish Language Network TV-IMP(000): P21-54	Spanish Language Network TV-CPM: P21-54	Spanish Language Network TV-GRP: P21-64	Spanish Language Network TV-IMP(000): P21-64	Spanish Language Network TV-CPM: P21-64	Spot TV-Units	Spot TV-$$$ (000)	Spot TV-GRP: TV Households	Spot TV-IMP(000): TV Households	Spot TV-CPM: TV Households	Spot TV-GRP: P18+	Spot TV-IMP(000): P18+	Spot TV-CPM: P18+	Spot TV-GRP: P21-54	Spot TV-IMP(000): P21-54	Spot TV-CPM: P21-54	Spot TV-GRP: P21-64	Spot TV-IMP(000): P21-64	Spot TV-CPM: P21-64	Syndicated TV-Units	Syndicated TV-$$$ (000)	Syndicated TV-GRP: TV Households	Syndicated TV-IMP(000): TV Households	Syndicated TV-CPM: TV Households	Syndicated TV-GRP: P18+	Syndicated TV-IMP(000): P18+	Syndicated TV-CPM: P18+	Syndicated TV-GRP: P21-54	Syndicated TV-IMP(000): P21-54	Syndicated TV-CPM: P21-54	Syndicated TV-GRP: P21-64	Syndicated TV-IMP(000): P21-64	Syndicated TV-CPM: P21-64	Row No.
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/01/09 - 02/07/09 	COPD WITH BRONCHITIS/WOMAN/KIDS/URL	60 seconds	3364256	1	3.832	0.785	898.682	4.264	0.492	1104.846	3.468	0.442	620.341	6.177	0.502	876.938	4.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/01/09 - 02/07/09 	COPD/FATHER & SON/BOAT/PIER/URL	60 seconds	3364260	22	53.806	8.187	9369.8	5.742	5.115	11486.705	4.684	2.746	3856.321	13.953	3.615	6312.102	8.524	4	136.8	13.615	15589.316	8.775	8.457	18984.291	7.206	5.03	7066.727	19.358	6.291	10985.187	12.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	93.959	5.08	5652.375	16.623	3.209	7005.546	13.412	1.965	2723.225	34.503	2.52	4288.191	21.911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/01/09 - 02/07/09 	COPD/WOMAN & GIRL/DOG/GUITAR/FIRE	60 seconds	3364262	24	39.828	7.243	8289.34	4.805	4.308	9677.952	4.115	2.6	3653.86	10.9	3.349	5847.16	6.812	10	396.6	23.287	26661.047	14.876	14.264	32018.889	12.386	10.007	14057.146	28.213	12.244	21379.553	18.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	114.488	6.263	6973.93	16.417	3.987	8715.573	13.136	2.345	3249.026	35.238	3.069	5217.539	21.943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/08/09 - 02/14/09 	COPD WITH BRONCHITIS/WOMAN/KIDS/URL	60 seconds	3364256	1	3.262	0.667	763.906	4.27	0.409	918.535	3.551	0.403	566.195	5.761	0.439	766.671	4.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/08/09 - 02/14/09 	COPD/FATHER & SON/BOAT/PIER/URL	60 seconds	3364260	24	40.77	7.203	8243.61	4.946	4.206	9443.404	4.317	3.072	4312.653	9.454	3.635	6343.146	6.427	6	400.8	25.711	29439.211	13.614	16.598	37259.293	10.757	11.46	16100.368	24.894	13.997	24439.578	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	95.123	5.484	6112.249	15.563	3.58	7821.671	12.161	2.215	3066.495	31.02	2.779	4722.414	20.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/08/09 - 02/14/09 	COPD/WOMAN & GIRL/DOG/GUITAR/FIRE	60 seconds	3364262	29	88.328	11.289	12923.528	6.835	6.66	14952.904	5.907	4.195	5893.243	14.988	5.279	9220.984	9.579	5	184.4	14.476	16575.822	11.125	9.169	20581	8.96	5.248	7372.669	25.011	6.729	11751.248	15.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	101.409	5.809	6472.88	15.667	3.757	8216.553	12.342	2.362	3270.894	31.003	3.023	5135.426	19.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/15/09 - 02/21/09 	COPD/FATHER & SON/BOAT/PIER/URL	60 seconds	3364260	30	105.042	14.042	16074.239	6.535	8.584	19267.537	5.452	5.517	7750.157	13.554	6.84	11941.326	8.797	4	127.2	12.36	14151.857	8.988	7.517	16875.264	7.538	4.346	6106.754	20.829	5.574	9732.775	13.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	117.787	6.09	6790.009	17.347	3.9	8517.135	13.829	2.404	3325.993	35.414	3.049	5187.261	22.707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/15/09 - 02/21/09 	COPD/WOMAN & GIRL/DOG/GUITAR/FIRE	60 seconds	3364262	40	147.072	19.87	22744.836	6.466	11.686	26241.537	5.605	8.189	11503.136	12.785	9.582	16727.676	8.792	7	422.2	27.586	31585.514	13.367	17.804	39969.129	10.563	11.61	16310.951	25.884	14.76	25770.811	16.383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	130.967	7.114	7926.799	16.522	4.581	10012.091	13.081	2.877	3983.764	32.875	3.577	6086.484	21.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/22/09 - 02/28/09 	COPD/FATHER & SON/BOAT/PIER/URL	60 seconds	3364260	8	16.3	2.779	3179.953	5.126	1.599	3589.958	4.54	1.095	1536.767	10.607	1.36	2376.454	6.859	1	154.8	4.501	5153.931	30.035	2.97	6666.147	23.222	2.061	2895.119	53.469	2.692	4700.753	32.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12.251	0.694	773.098	15.847	0.483	1055.71	11.605	0.363	502.098	24.4	0.424	719.589	17.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
NATIONAL 	ADVAIR DISKUS 250/50 RX-HUMAN-COPD 	02/22/09 - 02/28/09 	COPD/WOMAN & GIRL/DOG/GUITAR/FIRE	60 seconds	3364262	11	22.43	3.48	3983.943	5.63	2.048	4599.869	4.876	1.422	1998.221	11.225	1.811	3161.953	7.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10.275	0.635	709.306	14.486	0.425	930.918	11.037	0.277	384.23	26.742	0.353	598.406	17.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
