BRAND,YEARMO,N Rows,Sum(TOTTV_HH),Sum(TOTTV_A1854)
ADVAIR,200902,20,543.669,297.598
ADVAIR,200903,25,849.052,432.119
ADVAIR,200904,9,641.147,345.555
ADVAIR,200905,13,412.506,199.0115
ADVAIR,200906,12,265.866,122.94125
ADVAIR,200907,12,256.54,118.457
ADVAIR,200908,21,577.7216,291.869817
ADVAIR,200909,16,744.702,367.726
ADVAIR,200910,18,693.869,353.84825
ADVAIR,200911,19,11.999,26.96375
ADVAIR,200912,26,103.088,285.432
ADVAIR,201001,23,757.951,429.3645
ADVAIR,201002,24,1182.78,613.42975
ADVAIR,201003,21,916.062,466.425
ADVAIR,201004,18,874.147,424.298
ADVAIR,201005,21,681.6475,337.52825
ADVAIR,201006,14,311.717,140.282
ADVAIR,201007,15,295.847,137.5685
ADVAIR,201008,19,381.202,171.543
ADVAIR,201009,27,462.812,199.9425
ADVAIR,201010,25,325.743,142.706
ADVAIR,201011,26,414.592,199.2425
ADVAIR,201012,30,425.29,203.5245
ADVAIR,201101,12,355.072,178.27
ADVAIR,201102,15,326.169,150.2755
ADVAIR,201103,19,624.739,277.483
ADVAIR,201104,25,731.283,353.3335
ADVAIR,201105,34,753.9265,378.4905
ADVAIR,201106,29,758.0225,361.059
ADVAIR,201107,27,643.114,271.7
ALAVERT,200902,1,6.542,3.66625
ALAVERT,200903,10,80.2803333,41.3134167
ALAVERT,200904,19,150.854583,73.9689167
ALAVERT,200905,13,55.9578333,29.0663333
ALAVERT,200906,8,6.5465,3.21283333
ALAVERT,200907,5,0,0.012
ALAVERT,200908,6,0,0.0045
ALAVERT,200909,1,0,0
ALAVERT,201003,5,33.5575,18.1285
ALAVERT,201004,8,75.5565,38.20575
ALAVERT,201005,5,1.9735,1.1205
ALAVERT,201006,2,0.5425,0.2955
ALLEGRA,201102,2,0,0.00241667
ALLEGRA,201103,60,1461.1295,726.74665
ALLEGRA,201104,94,1346.35347,662.974917
ALLEGRA,201105,99,1093.70892,544.179167
ALLEGRA,201106,93,720.976583,348.95675
ALLEGRA,201107,56,155.30675,73.2626667
BENADRYL,200902,1,0,0
BENADRYL,200903,17,524.05875,242.22175
BENADRYL,200904,22,265.24975,124.57025
BENADRYL,200905,25,97.698,45.3915
BENADRYL,200906,7,5.103,2.17775
BENADRYL,200907,1,0,0.0025
BENADRYL,200908,4,68.78075,30.2565
BENADRYL,200909,6,77.439,32.87
BENADRYL,200910,2,0,0.00175
BENADRYL,200912,1,0,0.01075
BENADRYL,201003,1,0,0.444
BENADRYL,201004,12,252.5475,121.94225
BENADRYL,201005,16,187.421,89.18925
BENADRYL,201006,11,82.65625,36.997
BENADRYL,201007,1,0,0.00075
BENADRYL,201008,1,0,0
BENADRYL,201009,2,0,0.0005
BENADRYL,201103,5,175.16125,71.8335
CLARITIN,200902,17,377.70875,199.085
CLARITIN,200903,42,562.119,296.093417
CLARITIN,200904,42,914.099,465.19725
CLARITIN,200905,42,855.7115,433.2435
CLARITIN,200906,21,248.9135,127.023
CLARITIN,200907,3,0,0.015
CLARITIN,200908,19,434.21125,214.32275
CLARITIN,200909,30,720.81625,371.05925
CLARITIN,200910,29,413.538,217.925
CLARITIN,200911,27,308.6865,159.384
CLARITIN,200912,24,222.735,117.796833
CLARITIN,201001,17,195.625,104.812
CLARITIN,201002,23,262.034833,142.792583
CLARITIN,201003,36,632.77425,334.37725
CLARITIN,201004,65,1079.76533,551.767
CLARITIN,201005,70,1008.1395,516.794833
CLARITIN,201006,25,253.955,131.203
CLARITIN,201007,24,146.43925,73.97075
CLARITIN,201008,25,235.037,120.547417
CLARITIN,201009,29,233.83525,120.011
CLARITIN,201010,18,175.75275,84.2305
CLARITIN,201011,14,122.81225,60.18
CLARITIN,201012,17,183.0855,96.00675
CLARITIN,201101,8,137.24275,79.9085
CLARITIN,201102,15,229.66625,131.40725
CLARITIN,201103,36,734.038,387.5235
CLARITIN,201104,56,927.135833,471.443833
CLARITIN,201105,55,860.478,445.274917
CLARITIN,201106,28,173.138,87.068
CLARITIN,201107,9,37.38975,18.965
NASONEX,200902,9,324.551,180.242
NASONEX,200903,13,573.438,309.3515
NASONEX,200904,13,556.4875,285.625
NASONEX,200905,11,400.1575,212.4445
NASONEX,200906,2,0,0.0025
NASONEX,200908,10,475.15,236.166
NASONEX,200909,9,470.845,238.5375
NASONEX,200910,10,95.022,47.99
NASONEX,200911,2,0,0
NASONEX,201001,4,285.726,150.5885
NASONEX,201002,5,472.502,240.225
NASONEX,201003,8,449.7765,223.216
NASONEX,201004,9,359.6405,172.9535
NASONEX,201005,9,469.017,232.073
NASONEX,201008,5,401.8715,191.3055
NASONEX,201009,5,257.5185,117.2785
NASONEX,201010,2,0,0
NASONEX,201102,10,430.03275,212.32025
NASONEX,201103,15,525.792,263.90325
NASONEX,201104,17,405.5055,196.922
NASONEX,201105,20,468.35925,230.2555
NASONEX,201106,4,74.2755,35.13975
OMNARIS,200903,2,138.4665,58.9205
OMNARIS,200904,6,503.571,208.22975
OMNARIS,200905,10,426.498,174.4245
OMNARIS,200906,9,312.77,123.80975
OMNARIS,200907,5,95.272,37.4375
OMNARIS,200908,8,266.364,108.0905
OMNARIS,200909,5,193.5405,79.3865
OMNARIS,200910,6,147.7785,56.4525
OMNARIS,200911,5,152.1275,57.819
OMNARIS,201002,4,286.356,123.4985
OMNARIS,201003,9,323.1315,131.2335
OMNARIS,201004,12,293.441,117.011333
OMNARIS,201005,11,297.959667,117.753333
OMNARIS,201006,11,160.647833,62.9645
OMNARIS,201007,5,28.301,12.9645
OMNARIS,201008,9,164.5205,61.834
OMNARIS,201009,6,166.2015,58.616
OMNARIS,201010,3,22.537,7.646
OMNARIS,201102,4,307.1905,116.8775
OMNARIS,201103,6,308.225,127.633
OMNARIS,201104,11,287.593,109.969
OMNARIS,201105,11,273.7805,105.0755
SINGULAIR,200902,10,455.2905,190.83875
SINGULAIR,200903,17,904.1425,416.513
SINGULAIR,200904,17,607.706,276.5365
SINGULAIR,200905,18,457.5445,206.33025
SINGULAIR,200906,7,1.4455,0.77975
SINGULAIR,200907,5,0,0.0215
SINGULAIR,200908,2,0,0.001
ZYRTEC,200902,17,724.5205,349.213
ZYRTEC,200903,24,1032.7445,514.0185
ZYRTEC,200904,34,933.0565,435.719917
ZYRTEC,200905,58,900.2225,432.039917
ZYRTEC,200906,44,615.0215,291.825917
ZYRTEC,200907,22,56.2635,27.784
ZYRTEC,200908,32,652.21675,302.667
ZYRTEC,200909,43,736.037,359.25675
ZYRTEC,200910,24,34.45975,17.1655
ZYRTEC,200911,7,2.2045,1.29
ZYRTEC,200912,12,134.70525,66.1805
ZYRTEC,201001,16,34.80975,29.395
ZYRTEC,201002,14,567.2015,279.3985
ZYRTEC,201003,27,1199.6325,575.632
ZYRTEC,201004,45,1054.53725,497.593583
ZYRTEC,201005,67,925.78375,428.8275
ZYRTEC,201006,37,205.942,97.12425
ZYRTEC,201007,13,8.49875,4.773
ZYRTEC,201008,36,365.625,171.69525
ZYRTEC,201009,41,313.7785,147.70625
ZYRTEC,201010,9,1.9925,0.859
ZYRTEC,201011,1,0,0.0005
ZYRTEC,201101,10,0,5.85291667
ZYRTEC,201102,40,175.56125,90.52775
ZYRTEC,201103,35,872.36675,428.302833
ZYRTEC,201104,38,1123.72692,519.4895
ZYRTEC,201105,30,635.185333,288.269417
ZYRTEC,201106,17,34.16725,15.79125
ZYRTEC,201107,10,0.2375,0.08775
