YEARMO,N Rows,Sum(NASNRX),Sum(MKTNRX),Sum(NASTRX),Sum(MKTTRX),Sum(DET),Sum(SAM),Mean(mc_nrp),Sum(vcr),Sum(FLUNRX),Sum(VERNRX),Sum(OMNNRX),Sum(FLUTRX),Sum(VERTRX),Sum(OMNTRX),Mean(ONL_SCORE),Mean(ONL_SCORE_50)
200902,210,494971.002,1657014.76,799825.569,2722784.15,206941,702317,0.80458536,-7,,,,,,,67.6155117,67.6155117
200903,210,586193.067,1988231.75,943552.124,3238536.56,271535,894010,0.80458536,-3,,,,,,,90.5294527,124.337209
200904,210,618676.806,2091694.08,979548.598,3367173.69,270863,899195,0.80458536,0,,,,,,,113.443394,175.611998
200905,210,585563.072,1973833.7,948442.815,3269766.66,254145,804158,0.80458536,0,,,,,,,75.2534921,163.059491
200906,210,446784.576,1568779.07,793376.231,2824167.37,249122,720113,0.80458536,-1,,,,,,,67.6155117,149.145257
200907,210,371598.88,1310643.29,709277.135,2540974.67,229797,628590,0.80458536,-6,,,,,,,90.5294527,165.102081
200908,210,381826.197,1340741.68,720100.642,2578418.92,190387,587722,0.80458536,-4,712630.054,80473.052,20927.027,1376750.2,137623.917,33919.203,84.8009675,167.352008
200909,210,490037.086,1688962.77,841113.425,2970951.56,213276,678429,0.80458536,-39,901579.295,100878.358,26978.108,1590214.08,161031.305,41674.707,79.0724822,162.748486
200910,210,489455.23,1701982,835871.454,2975789.13,214168,695650,0.80458536,-76,931781.989,91242.23,26937.343,1624043.99,149580.782,42066.645,73.343997,154.71824
200911,210,433110.522,1539790.96,762589.626,2755636.63,171566,601558,0.80458536,-29,855789.842,80176.751,25466.294,1520779.28,135385.384,40700.628,92.8208468,170.179967
200912,210,474160.856,1711046.08,843052.578,3062855.49,108554,512190,0.80458536,-92,968732.66,84851.945,27887.502,1706904.51,145335.262,45385.866,80.6000783,165.690062
201001,210,443045.01,1701226.11,754056.51,2880140.49,39247,232923,0.80458536,-39,1011296.28,77248.531,27120.761,1677524.23,127683.707,42288.326,123.370673,206.215704
201002,210,425641.748,1696617.53,712454.917,2797234.12,89782,572843,0.80458536,151,1025852.23,80837.124,30797.339,1655735.64,127594.871,45836.227,117.975012,221.082864
201003,210,586149.737,2317173.06,941609.855,3622503.74,118938,811625,0.80458536,4950,1384785.69,115909.288,45437.107,2107028.36,173519.918,65332.901,163.228633,273.770065
201004,210,707824.679,2666049.43,1060086.25,3885248.88,144897,1032991,0.80458536,15004,1558370.88,146138.447,50326.756,2198718.85,206015.102,71797.858,158.093962,294.978995
201005,210,577959.636,2075551.25,925659.215,3324361.21,133949,837048,0.80458536,61877,1165019.54,113624.207,46042.011,1844531.55,172023.773,69982.082,138.341114,285.830612
201006,210,428474.135,1721707.23,773530.594,2980288.13,126327,776062,0.80458536,52547,1044660.45,86438.83,37691.462,1738357.07,145379.266,62534.966,133.334609,276.249915
201007,210,348663.58,1409383.53,692808.151,2714361.7,99730,601690,0.80458536,47084,858843.306,70558.024,30334.114,1604000.61,132803.905,56929.23,67.6155117,205.740469
201008,210,375827.54,1581373.41,710468.138,2844577.07,79200,564563,0.80458536,51342,980373.314,79928.382,34136.809,1692680.43,141970.287,61448.756,81.0174828,183.887717
201009,210,455066.592,1911537.54,794090.951,3230445.73,100896,718090,0.80458536,56462,1191877.93,96575.735,41993.38,1951860.72,159901.777,70857.938,67.6155117,159.55937
201010,210,441338.722,1887636.98,765443.415,3185314.69,83835,640286,0.80458536,53423,1192906.9,92411.352,39711.995,1950603.02,153931.675,68453.283,71.4345019,151.214187
201011,210,417259.555,1870744.47,732679.985,3131794.96,81940,663496,0.80458536,52997,1219008.26,83801.906,37247.038,1953619.53,143801.068,66062.086,83.4962807,159.103374
201012,210,428561.043,1940487.39,761151.093,3296074.62,55018,529381,0.80458536,51877,1278146.36,81625.798,38082.462,2077066.93,146207.784,68829.321,80.6301441,160.181831
201101,210,417823.645,1951814.48,710999.248,3185491.41,82300,734619,0.80458536,39071,1315574.14,78073.304,36047.641,2063042.25,135365.506,62972.746,67.6155117,147.706427
201102,210,403494.571,1893240.23,680078.288,3085345.73,98589,714552,0.80458536,41099,1282990.73,73660.243,38122.662,2020582.03,126462.374,64800.171,69.9746144,143.827828
201103,210,523952.186,2395118.85,847654.696,3816922.78,130922,818378,0.80458536,55912,1606890.31,100864.038,53450.291,2499244.88,163520.854,85553.747,180.071814,251.985728
201104,210,491722.199,2239064.64,787828.045,3580907.59,144729,765705,0.80458536,55217,1500580.92,98242.633,50132.701,2356219.97,156905.073,81736.249,115.236974,241.229838
201105,210,503854.693,2341488.01,809403.397,3751230.27,142294,687762,0.80458536,56944,1583800.95,103046.415,53086.77,2485028.51,164484.94,89993.322,121.629625,242.244544
201106,210,379452.874,1849795.75,668338.91,3187570.46,128974,616363,0.80458536,49833,1268546.68,75582.673,41733.398,2133127.18,133834.156,77136.737,80.2539797,201.376252
201107,210,295267.113,1427066.13,569468.687,2705619.01,121324,513326,0.80458536,33846,959971.883,56323.2,32564.887,1804582.43,107927.622,66618.861,68.4256716,169.113798
