Prescriber Zip Code	Plan Provider ID	Year	Month	Product Family	Rx New	Rx Refill	Rx Total	Tablets New	Tablets Total	Tablets Refill
01103	13670202.00	2010.00	201012.00	NASONEX	1.127	0.00	1.127	19.16	19.16	0.00
01104	13670202.00	2010.00	201012.00	NASONEX	2.414	0.00	2.414	41.04	41.04	0.00
01106	13670202.00	2010.00	201011.00	NASONEX	2.062	0.00	2.062	35.04	35.04	0.00
01106	13670202.00	2011.00	201101.00	NASONEX	0.914	0.00	0.914	15.54	15.54	0.00
02176	13670202.00	2010.00	201012.00	NASONEX	1.021	0.00	1.021	17.37	17.37	0.00
02215	13670202.00	2010.00	201008.00	NASONEX	1.007	0.00	1.007	17.12	17.12	0.00
02215	13670202.00	2011.00	201102.00	NASONEX	1.007	0.00	1.007	17.12	17.12	0.00
02446	13670202.00	2010.00	201008.00	NASONEX	1.005	0.00	1.005	17.08	17.08	0.00
02865	13670202.00	2010.00	201012.00	NASONEX	1.083	0.00	1.083	18.42	18.42	0.00
02920	13670202.00	2010.00	201012.00	NASONEX	1.072	0.00	1.072	18.23	18.23	0.00
04043	13670202.00	2010.00	201012.00	NASONEX	2.431	0.00	2.431	41.33	41.33	0.00
04043	13670202.00	2011.00	201101.00	NASONEX	2.04	0.00	2.04	34.68	34.68	0.00
04401	13670202.00	2010.00	201010.00	NASONEX	3.111	0.00	3.111	52.89	52.89	0.00
04730	13670202.00	2010.00	201011.00	NASONEX	1.617	0.00	1.617	27.48	27.48	0.00
06511	13670202.00	2010.00	201010.00	NASONEX	9.019	0.00	9.019	153.34	153.34	0.00
06851	13670202.00	2010.00	201011.00	NASONEX	1.058	0.00	1.058	17.99	17.99	0.00
06851	13670202.00	2010.00	201012.00	NASONEX	2.123	0.00	2.123	36.08	36.08	0.00
07047	13670202.00	2010.00	201011.00	NASONEX	2.822	0.00	2.822	47.98	47.98	0.00
07067	13670202.00	2010.00	201012.00	CIPROFLOXACIN	1.027	0.00	1.027	20.55	20.55	0.00
07093	13670202.00	2010.00	201012.00	NASONEX	2.269	0.00	2.269	38.56	38.56	0.00
07095	13670202.00	2010.00	201011.00	NASONEX	1.074	0.00	1.074	18.26	18.26	0.00
07110	13670202.00	2010.00	201009.00	NASONEX	1.065	0.00	1.065	18.1	18.1	0.00
07110	13670202.00	2010.00	201010.00	NASONEX	3.212	0.00	3.212	54.61	54.61	0.00
07306	13670202.00	2010.00	201010.00	NASONEX	1.095	0.00	1.095	18.62	18.62	0.00
07306	13670202.00	2010.00	201011.00	NASONEX	2.639	0.00	2.639	44.86	44.86	0.00
07731	13670202.00	2011.00	201101.00	NASONEX	1.032	0.00	1.032	17.54	17.54	0.00
08009	13670202.00	2010.00	201011.00	NASONEX	1.309	0.00	1.309	22.25	22.25	0.00
08820	13670202.00	2010.00	201012.00	NASONEX	2.073	0.00	2.073	35.25	35.25	0.00
10016	13670202.00	2011.00	201103.00	NASONEX	1.104	0.00	1.104	18.77	18.77	0.00
10019	13670202.00	2010.00	201007.00	NASONEX	2.176	0.00	2.176	37.01	37.01	0.00
01104	13670202.00	2010.00	201009.00	NASONEX	2.38	0.00	2.38	40.47	40.47	0.00
01106	13670202.00	2011.00	201103.00	NASONEX	1.031	0.00	1.031	17.52	17.52	0.00
01106	13670202.00	2011.00	201105.00	NASONEX	4.113	0.00	4.113	69.91	69.91	0.00
01107	13670202.00	2010.00	201011.00	NASONEX	4.568	0.00	4.568	77.64	77.64	0.00
01301	13670202.00	2010.00	201008.00	NASONEX	2.08	0.00	2.08	35.35	35.35	0.00
02176	13670202.00	2010.00	201008.00	NASONEX	2.044	0.00	2.044	34.76	34.76	0.00
02215	13670202.00	2010.00	201005.00	NASONEX	1.083	0.00	1.083	18.41	18.41	0.00
02215	13670202.00	2010.00	201006.00	NASONEX	4.272	0.00	4.272	72.61	72.61	0.00
02215	13670202.00	2011.00	201103.00	NASONEX	1.008	0.00	1.008	17.14	17.14	0.00
02747	13670202.00	2010.00	201011.00	NASONEX	1.055	0.00	1.055	17.94	17.94	0.00
02904	13670202.00	2010.00	201011.00	NASONEX	1.335	0.00	1.335	22.69	22.69	0.00
02908	13670202.00	2010.00	201012.00	NASONEX	3.183	0.00	3.183	54.09	54.09	0.00
04730	13670202.00	2010.00	201012.00	NASONEX	1.617	0.00	1.617	27.48	27.48	0.00
06062	13670202.00	2010.00	201010.00	NASONEX	1.075	0.00	1.075	18.28	18.28	0.00
07067	13670202.00	2010.00	201011.00	NASONEX	2.004	0.00	2.004	34.06	34.06	0.00
07093	13670202.00	2010.00	201011.00	NASONEX	1.038	0.00	1.038	17.65	17.65	0.00
07105	13670202.00	2010.00	201009.00	NASONEX	1.074	0.00	1.074	18.26	18.26	0.00
07731	13670202.00	2010.00	201012.00	NASONEX	6.325	0.00	6.325	107.51	107.51	0.00
08009	13670202.00	2010.00	201012.00	NASONEX	3.277	0.00	3.277	55.71	55.71	0.00
10003	13670202.00	2010.00	201012.00	NASONEX	9.205	0.00	9.205	156.47	156.47	0.00
10019	13670202.00	2011.00	201105.00	NASONEX	3.206	0.00	3.206	54.5	54.5	0.00
11550	13670202.00	2010.00	201012.00	NASONEX	1.042	0.00	1.042	17.71	17.71	0.00
13210	13670202.00	2011.00	201102.00	NASONEX	1.022	0.00	1.022	17.38	17.38	0.00
13210	13670202.00	2011.00	201106.00	NASONEX	1.001	0.00	1.001	17.02	17.02	0.00
13905	13670202.00	2010.00	201012.00	NASONEX	1.127	0.00	1.127	19.16	19.16	0.00
14228	13670202.00	2010.00	201012.00	NASONEX	1.083	0.00	1.083	18.41	18.41	0.00
15025	13670202.00	2010.00	201010.00	NASONEX	2.1	0.00	2.1	35.7	35.7	0.00
15401	13670202.00	2010.00	201012.00	NASONEX	3.384	0.00	3.384	57.53	57.53	0.00
15904	13670202.00	2010.00	201011.00	NASONEX	1.137	0.00	1.137	19.33	19.33	0.00
16323	13670202.00	2010.00	201012.00	NASONEX	1.509	0.00	1.509	25.66	25.66	0.00
