gradrat lenroll rmbrd private stufac csat act
15.00 4.0073331852 4.12 1.00 11.90 972.00 20.00
NA 6.8330317328 3.59 0.00 10.00 961.00 22.00
39.00 4.4886363697 4.764 0.00 9.50 NA NA 
NA 7.0578979374 5.12 0.00 13.70 881.00 20.00
40.00 6.8916258971 2.55 0.00 14.30 NA 17.00
55.00 5.1873858058 3.25 1.00 32.80 NA 20.00
51.00 6.3456363608 NA 0.00 18.90 NA 21.00
15.00 7.1530516349 NA 0.00 18.70 NA NA 
69.00 8.0294328406 NA 0.00 16.70 1076.00 24.00
72.00 5.6594822158 4.48 1.00 14.00 1100.00 26.00
76.00 6.4377516497 2.536 0.00 19.40 NA NA 
44.00 4.8441870865 3.92 1.00 11.40 959.00 23.00
33.00 6.7878449823 2.6 0.00 20.10 NA 20.00
43.00 4.9199809258 NA 1.00 17.90 NA 22.00
36.00 6.0958245624 2.449 0.00 18.80 NA 19.00
15.00 5.4889377262 2.7 1.00 16.70 NA NA 
52.00 5.5947113796 NA 1.00 16.60 NA 22.00
NA 5.9532433343 NA 1.00 14.50 760.00 17.00
61.00 6.5381398238 NA 1.00 14.70 NA NA 
70.00 5.4380793089 4.788 1.00 14.40 990.00 24.00
47.00 5.5134287462 2.754 1.00 14.30 NA NA 
46.00 5.8141305318 2.964 1.00 15.50 NA NA 
48.00 6.7141705299 2.57 0.00 23.00 980.00 20.00
65.00 6.4150969592 NA 1.00 12.20 NA NA 
50.00 7.8943180638 3.53 0.00 17.30 NA 23.00
33.00 6.843749949 5.175 0.00 6.70 NA 21.00
38.00 6.0980742822 3.5 0.00 12.70 1010.00 24.00
43.00 6.9536842109 2.85 0.00 13.30 NA 23.00
42.00 6.4692503168 4.43 0.00 18.10 NA 21.00
NA 6.4952655559 2.31 0.00 42.60 NA NA 
NA 6.6120410348 NA 0.00 16.20 694.00 16.00
54.00 5.1119877884 3.922 1.00 12.60 NA 25.00
48.00 6.8575140625 NA 0.00 19.60 NA 21.00
39.00 7.3051882154 NA 0.00 20.00 NA 21.00
36.00 7.4910875935 2.6 0.00 20.50 NA 22.00
NA 4.836281907 2.85 1.00 12.80 NA NA 
68.00 6.6476883736 NA 0.00 19.00 NA NA 
63.00 5.6131281064 3.195 1.00 13.10 1089.00 26.00
75.00 5.6489742382 3.672 1.00 13.30 993.00 23.00
19.00 7.085064294 NA 0.00 14.70 NA 19.00
65.00 6.1092475828 NA 1.00 13.30 NA NA 
NA 5.4026773819 1.26 1.00 18.10 NA NA 
NA 4.8751973232 NA 1.00 18.00 NA 19.00
33.00 6.2126060958 NA 0.00 17.00 NA NA 
39.00 7.6652847185 NA 0.00 14.80 NA NA 
73.00 6.6920837425 3.528 1.00 17.70 1020.00 24.00
81.00 5.1298987149 NA 1.00 14.20 926.00 22.00
48.00 8.2324401585 NA 0.00 18.90 974.00 23.00
41.00 7.587310506 3.728 0.00 21.70 939.00 22.00
49.00 8.4182564436 4.216 0.00 19.60 983.00 23.00
NA 4.8598124044 NA 1.00 2.30 1000.00 23.00
NA 6.2225762681 3.7 1.00 12.80 902.00 21.00
36.00 6.1290502101 4.546 1.00 16.60 940.00 22.00
43.00 5.0562458053 3.894 1.00 13.00 836.00 19.00
83.00 5.3471075307 NA 1.00 6.50 1410.00 NA 
60.00 5.5093883366 NA 1.00 12.40 931.00 21.00
56.00 7.2930176798 NA 0.00 19.90 871.00 21.00
47.00 7.0264268087 NA 0.00 20.50 NA NA 
48.00 7.8539930872 NA 0.00 20.30 838.00 21.00
49.00 7.145196135 NA 0.00 20.40 NA NA 
24.00 6.0591231956 NA 0.00 18.10 NA NA 
49.00 7.3271232923 NA 0.00 20.30 839.00 NA 
59.00 7.4085305669 4.877 0.00 19.80 1002.00 21.00
50.00 7.3562798766 4.862 0.00 18.50 NA NA 
63.00 7.1530516349 5.05 0.00 18.90 899.00 21.00
61.00 7.3018223421 NA 0.00 21.20 NA NA 
65.00 6.3368257311 NA 0.00 16.40 956.00 22.00
47.00 7.1180162045 NA 0.00 19.20 884.00 NA 
41.00 7.6736881293 NA 0.00 19.50 851.00 20.00
43.00 7.6764736464 NA 0.00 20.30 809.00 19.00
55.00 7.138073034 NA 0.00 17.40 816.00 19.00
46.00 7.2584121506 4.224 0.00 17.40 838.00 19.00
40.00 6.3225652399 5.189 0.00 16.10 968.00 22.00
NA 6.133398043 NA 0.00 15.30 849.00 19.00
23.00 3.9318256327 NA 1.00 15.70 895.00 19.00
47.00 5.8607862235 NA 1.00 12.80 957.00 22.00
87.00 5.4249500175 6.01 1.00 9.60 1270.00 28.00
100.00 5.1817835503 6.69 1.00 8.20 1370.00 NA 
73.00 5.3936275464 5.9 1.00 10.40 1150.00 26.00
91.00 5.9661467391 NA 1.00 8.90 1340.00 31.00
73.00 4.9344739331 7.35 1.00 8.20 1150.00 26.00
43.00 4.5747109785 NA 1.00 10.40 NA NA 
44.00 3.7612001157 NA 1.00 7.80 898.00 NA 
50.00 4.3174881135 NA 1.00 11.60 884.00 NA 
49.00 5.7838251823 3.855 1.00 12.60 888.00 20.00
47.00 5.4205349993 NA 1.00 14.10 903.00 22.00
NA 4.7449321284 NA 1.00 15.40 829.00 19.00
64.00 4.8828019226 NA 1.00 10.30 1050.00 25.00
72.00 4.7273878187 NA 1.00 11.90 972.00 21.00
79.00 5.9135030056 5.14 1.00 10.50 1080.00 NA 
67.00 4.4886363697 NA 1.00 10.70 900.00 22.00
54.00 4.9836066217 3.67 1.00 10.50 1008.00 22.00
69.00 5.9532433343 3.825 1.00 12.30 NA 22.00
54.00 6.0591231956 NA 1.00 16.10 897.00 21.00
66.00 6.5220927982 6.77 1.00 11.60 1099.00 25.00
43.00 5.2626901889 4.124 1.00 18.60 909.00 21.00
78.00 6.1420374056 6.354 1.00 16.10 1032.00 NA 
96.00 7.3877092391 NA 1.00 9.70 1401.00 31.00
78.00 8.0755826367 NA 0.00 15.80 1218.00 NA 
76.00 8.046869511 NA 0.00 14.50 1070.00 24.00
66.00 7.8152070622 NA 0.00 16.10 1029.00 NA 
77.00 8.1861859942 NA 0.00 11.80 1141.00 NA 
62.00 7.2930176798 NA 0.00 13.40 982.00 23.00
66.00 7.8164169837 NA 0.00 13.90 1131.00 26.00
69.00 8.0830199192 NA 0.00 18.90 1006.00 NA 
59.00 7.4483338609 NA 0.00 21.30 1059.00 NA 
73.00 5.723585102 6.205 1.00 8.90 NA NA 
62.00 6.2878585602 6.452 1.00 13.60 977.00 21.00
100.00 6.788971743 NA 1.00 13.90 NA NA 
68.00 7.8148034295 6.482 1.00 11.40 1090.00 25.00
65.00 6.3664704477 NA 1.00 11.20 975.00 NA 
87.00 5.8607862235 5.304 0.00 14.90 1051.00 24.00
52.00 5.8406416574 NA 1.00 13.60 961.00 NA 
54.00 4.7095302013 NA 1.00 13.50 822.00 20.00
55.00 2.8903717579 NA 1.00 7.20 1040.00 NA 
30.00 3.7135720667 NA 1.00 14.40 NA NA 
24.00 6.0282785202 NA 0.00 13.40 842.00 21.00
66.00 6.7867169506 NA 1.00 15.60 1038.00 NA 
71.00 4.2046926194 NA 1.00 10.90 1172.00 NA 
84.00 6.6240652278 5.916 1.00 14.20 1034.00 NA 
55.00 4.9698132996 4.44 1.00 13.10 905.00 22.00
60.00 6.3438804341 3.73 0.00 27.90 NA 21.00
84.00 6.1944053911 4.19 1.00 11.30 NA NA 
40.00 7.4366172652 NA 0.00 21.50 920.00 22.00
59.00 7.6934816408 NA 0.00 19.20 1024.00 25.00
46.00 7.0237589547 3.32 0.00 19.10 NA NA 
59.00 6.7923444275 3.798 0.00 28.80 851.00 20.00
25.00 7.4157769754 NA 0.00 21.10 855.00 20.00
53.00 5.730099783 5.48 1.00 14.80 929.00 22.00
36.00 6.405228458 4.38 0.00 19.40 908.00 20.00
88.00 7.0561752841 NA 0.00 8.20 NA NA 
66.00 8.1420632831 NA 0.00 19.90 NA NA 
67.00 6.3630281035 NA 1.00 15.90 1010.00 24.00
52.00 6.4035741979 3.755 0.00 19.40 890.00 21.00
NA 5.7620513828 NA 0.00 15.00 NA NA 
24.00 5.5645204073 NA 0.00 18.10 1007.00 23.00
NA 5.7365722975 NA 1.00 8.60 867.00 21.00
63.00 4.6347289882 NA 1.00 11.50 890.00 23.00
49.00 6.8046145201 4.444 0.00 16.70 871.00 NA 
91.00 6.0822189104 6.3 1.00 10.70 NA NA 
NA 6.2690962837 3.936 0.00 15.50 NA NA 
94.00 6.6605751498 NA 1.00 15.10 1058.00 25.00
79.00 5.81711116 5.02 1.00 15.60 929.00 NA 
NA 4.521788577 NA 1.00 12.20 NA NA 
86.00 6.6920837425 NA 1.00 12.00 NA NA 
82.00 6.2324480166 5.78 1.00 14.80 900.00 NA 
45.00 6.9508147684 4.796 0.00 15.80 830.00 NA 
76.00 4.5643481915 4.6 1.00 11.20 NA NA 
91.00 6.1696107325 5.69 1.00 10.40 NA NA 
71.00 5.6240175062 NA 0.00 8.30 1186.00 NA 
51.00 5.0304379214 6.81 1.00 7.90 911.00 NA 
66.00 7.085064294 6 1.00 10.70 963.00 NA 
92.00 6.5680779114 5.6 1.00 12.10 1280.00 29.00
50.00 6.3350542515 4.316 0.00 16.90 855.00 NA 
99.00 7.1831117017 6.51 1.00 5.80 NA NA 
71.00 7.6324011266 5.072 0.00 16.00 1032.00 NA 
69.00 6.9546388649 6.4 1.00 13.60 1133.00 NA 
75.00 6.2245584293 6.408 1.00 9.30 NA NA 
NA 5.9712618398 5.4 1.00 6.60 NA NA 
72.00 7.3078727808 6.328 1.00 7.60 NA NA 
95.00 7.2370590261 7.131 1.00 7.20 NA NA 
46.00 7.4181808227 3.75 1.00 7.50 883.00 20.00
NA 4.1108738642 6.915 1.00 5.70 842.00 20.00
96.00 4.605170186 6.43 1.00 8.30 950.00 22.00
NA 7.4483338609 NA 0.00 11.70 NA NA 
26.00 6.6385677892 3.81 0.00 13.70 NA NA 
36.00 5.6489742382 NA 1.00 27.60 911.00 NA 
75.00 8.0870254707 4.23 1.00 18.30 1035.00 NA 
84.00 5.8579331545 4.674 1.00 14.40 800.00 NA 
56.00 6.4536249989 NA 1.00 12.50 NA NA 
72.00 5.6312117818 NA 1.00 12.60 900.00 20.00
58.00 6.2952660014 3.396 1.00 13.80 775.00 16.00
33.00 5.463831805 NA 1.00 23.20 830.00 19.00
57.00 6.2595814641 4.14 1.00 10.60 1096.00 NA 
NA 4.6151205168 NA 1.00 15.10 875.00 22.00
44.00 6.864847778 3.75 1.00 16.50 994.00 25.00
NA 7.288244401 2.668 0.00 11.80 NA NA 
48.00 6.7165947735 4.06 0.00 15.60 990.00 22.00
35.00 6.3225652399 3.19 1.00 17.10 NA NA 
59.00 5.9026333334 NA 1.00 12.80 1076.00 25.00
68.00 5.9242557974 4.865 1.00 17.40 912.00 23.00
58.00 8.0140049948 4.06 0.00 23.10 NA NA 
NA 5.7203117766 4.38 1.00 12.10 NA NA 
65.00 5.7525726388 5.6 1.00 19.00 890.00 21.00
23.00 5.5490760849 4.74 1.00 20.40 905.00 NA 
