anti90 anti92 anti94 black childage gender hispanic married momage momwork pov90 pov92 pov94 self90 self92 self94
1 1 1 0 8 1 0 0 21 0 1 1 1 21 24 23
0 0 0 0 8.4166666667 1 0 0 22 1 0 0 0 20 24 24
5 5 5 0 8.0833333333 0 0 1 18 0 0 0 0 21 24 24
2 3 1 0 8.25 0 0 0 24 0 0 0 0 23 21 21
1 0 0 0 9.3333333333 1 0 0 22 0 0 0 0 22 23 24
1 1 1 0 8.5833333333 0 0 0 24 0 0 0 0 19 21 24
3 3 4 0 9.25 1 0 1 23 1 0 0 0 24 16 13
4 1 1 0 8.5 0 0 1 18 0 0 0 0 19 22 16
1 1 0 0 8.0833333333 0 0 0 24 0 0 0 0 21 24 20
4 5 6 0 9.1666666667 0 0 1 20 0 0 0 0 9 11 24
3 3 3 0 8.8333333333 1 0 1 23 1 1 0 0 20 23 18
3 2 3 0 9.1666666667 1 1 1 20 0 0 0 0 15 18 20
3 2 4 0 8.5833333333 0 0 0 19 1 1 1 1 23 22 21
1 3 1 0 8.75 0 0 0 22 1 0 0 0 21 10 17
3 4 5 1 9.8333333333 1 0 0 23 0 0 0 0 21 19 21
2 1 2 1 9 1 0 0 20 0 1 1 1 16 19 15
1 2 1 1 8.6666666667 0 0 0 19 1 1 1 1 18 15 14
0 2 0 0 9.3333333333 0 0 0 22 1 0 0 0 20 17 22
3 0 3 1 8.1666666667 1 0 0 18 0 1 0 1 19 23 18
5 6 4 0 8.4166666667 0 0 0 20 1 0 0 0 13 6 21
4 4 3 0 9.3333333333 0 0 0 23 0 0 0 0 23 24 24
1 2 3 0 8.5833333333 0 0 1 24 0 1 0 0 21 23 24
0 1 0 0 8 1 0 0 24 1 0 0 0 20 21 20
2 3 4 0 9.5 0 0 0 23 0 0 0 0 24 24 23
0 0 0 0 9.5 1 0 0 22 1 0 0 0 23 14 20
5 3 5 0 8.75 1 0 0 22 0 0 0 0 18 10 15
2 1 2 0 9.1666666667 0 0 0 17 1 0 0 0 22 24 20
2 2 3 0 10 1 0 0 21 0 0 0 0 22 21 16
1 3 2 0 8.25 0 1 0 24 1 0 0 0 18 23 24
0 0 0 0 9.75 1 0 0 20 1 0 0 0 20 14 23
1 1 0 0 8 1 0 0 25 1 0 0 0 21 19 22
4 4 6 0 8.9166666667 1 0 1 19 0 1 0 0 24 24 23
2 2 1 0 9.75 0 0 1 18 0 0 0 0 21 20 19
3 4 3 0 9.8333333333 0 0 0 19 0 0 0 0 22 22 17
3 3 5 0 8.4166666667 1 0 0 21 0 0 0 0 19 21 23
0 0 0 0 9.25 1 1 0 19 0 0 0 0 20 19 24
0 0 0 1 8.1666666667 1 0 1 22 0 1 1 1 19 21 20
4 4 5 0 9.75 0 0 1 19 1 1 1 1 21 22 22
2 0 0 0 8.6666666667 1 0 0 22 0 0 0 0 21 18 21
0 0 0 0 9 1 0 1 21 1 1 1 1 20 24 24
1 2 4 0 9.4166666667 1 0 0 18 1 0 0 0 24 20 9
1 0 0 0 8.5833333333 1 0 1 19 0 1 0 1 22 21 24
2 0 1 0 9.3333333333 0 0 0 22 0 0 0 0 24 23 24
0 0 0 0 8.6666666667 1 0 0 25 1 0 0 0 24 24 22
0 1 1 0 9.25 0 0 0 22 0 0 0 0 19 21 21
1 0 0 0 8.5 0 0 0 24 1 0 0 0 24 20 24
1 4 5 1 8.5 1 0 0 23 1 1 1 0 24 19 21
3 4 4 0 9.9166666667 1 0 0 22 1 0 0 0 19 16 18
3 1 3 0 8.1666666667 0 0 1 24 0 1 1 1 24 24 22
1 1 0 1 9.0833333333 0 0 1 22 0 0 0 0 24 24 24
0 0 0 1 8.0833333333 1 0 1 23 0 0 0 0 21 16 24
1 0 1 1 10 0 0 0 19 0 0 0 0 17 12 23
2 2 0 0 9.6666666667 1 0 1 16 1 1 0 1 24 23 24
0 0 1 1 8.8333333333 0 0 0 23 1 1 0 1 21 23 17
5 3 5 1 8.9166666667 0 0 0 20 0 1 1 1 20 22 24
0 1 0 1 8.5833333333 1 0 0 17 0 0 0 0 19 20 24
2 1 2 1 8.9166666667 1 0 0 21 0 1 0 0 16 24 24
5 3 1 1 9.1666666667 0 0 0 21 0 0 0 0 15 19 20
3 3 4 0 8.25 0 0 0 24 0 0 0 0 20 24 13
0 1 1 0 8.0833333333 1 0 0 24 1 1 1 0 17 16 17
2 3 0 0 8.8333333333 1 0 0 23 1 0 1 1 13 19 24
3 2 1 0 8.0833333333 1 0 1 18 0 1 1 1 20 17 23
0 3 3 0 8.9166666667 0 0 0 18 0 0 0 0 22 19 22
1 1 0 1 9.6666666667 1 0 0 23 1 1 1 0 22 21 20
2 2 1 1 8.6666666667 1 0 0 20 0 1 0 1 24 22 24
1 1 0 0 9.75 1 0 0 22 1 0 0 0 24 17 24
1 1 1 0 8.5833333333 1 0 0 23 1 0 0 0 19 17 19
0 0 0 0 8.75 1 0 0 21 0 0 0 0 24 19 22
4 0 3 0 8.4166666667 0 0 0 19 0 0 0 0 19 21 21
2 2 2 0 9.4166666667 1 1 1 20 0 1 1 1 20 20 19
0 0 0 0 9.4166666667 0 0 1 19 1 1 0 0 24 14 20
0 2 2 0 9.9166666667 1 1 0 19 0 0 1 0 17 16 16
2 0 5 0 8.8333333333 1 0 0 23 0 0 0 1 22 21 23
0 0 0 0 8.75 1 1 0 18 0 0 1 0 24 19 19
0 3 3 1 9.9166666667 0 0 0 16 1 0 1 0 21 19 23
0 1 0 0 9.0833333333 0 0 0 17 1 0 0 0 21 22 21
1 2 3 0 9.9166666667 1 0 0 20 0 0 0 0 23 24 24
0 0 1 0 8.8333333333 1 0 0 23 0 0 0 0 22 21 21
2 4 1 1 8.9166666667 0 0 1 20 0 0 1 0 18 24 24
3 3 0 0 8.5 1 0 0 17 1 0 1 0 15 14 20
0 0 0 0 8.8333333333 0 1 0 22 0 0 0 0 24 24 24
0 1 0 0 8.6666666667 1 0 0 23 0 0 0 0 22 24 24
4 3 4 0 9.25 0 0 0 20 1 0 0 0 19 19 14
3 3 1 0 9.25 1 0 0 21 1 1 1 1 20 22 19
3 2 0 0 8.9166666667 1 0 0 24 0 0 0 0 24 22 24
0 0 1 0 9.5833333333 1 0 1 23 1 1 1 0 24 24 24
0 1 0 0 9.9166666667 0 0 0 23 1 0 0 0 21 24 22
4 2 3 0 8.1666666667 0 0 0 24 0 0 0 0 24 22 17
2 2 4 0 8.4166666667 1 0 1 22 1 1 0 0 21 23 21
1 1 3 0 8.25 1 1 0 17 0 0 0 0 17 22 22
4 5 4 0 8.9166666667 0 0 1 19 0 0 0 1 14 12 23
0 0 0 1 9.5 1 0 0 20 0 0 1 0 21 24 21
2 1 2 0 8.5 0 1 0 21 0 0 0 1 21 18 21
2 1 3 0 8.0833333333 0 0 0 23 0 0 0 0 24 21 24
2 3 2 0 10 1 0 0 18 0 0 1 1 14 23 15
2 0 0 0 9.9166666667 1 0 1 17 1 0 0 0 19 23 24
0 0 0 0 8.5833333333 1 0 1 18 1 0 0 0 24 24 24
0 0 0 0 9.25 1 0 0 20 0 0 0 0 21 17 20
0 0 0 1 9.6666666667 0 0 1 19 1 1 1 1 21 24 21
3 3 1 0 8.25 1 1 0 20 0 0 0 0 20 23 24
2 0 1 0 9 1 0 0 24 1 0 0 0 20 20 23
0 0 1 0 8.9166666667 0 0 0 22 0 0 0 0 18 17 19
2 2 1 0 9.8333333333 1 0 0 23 0 0 0 0 21 21 18
1 0 1 0 8.1666666667 1 0 0 24 0 0 0 0 19 16 13
1 2 5 0 9.0833333333 1 0 0 20 0 0 0 0 23 22 18
0 0 0 0 9.1666666667 0 0 0 24 0 0 0 0 23 24 23
0 1 2 0 9.75 0 0 0 19 0 0 0 0 23 20 24
0 1 1 0 8 1 0 0 21 0 0 0 0 21 12 16
0 0 0 0 8.6666666667 1 0 1 20 1 1 1 1 24 21 19
0 0 0 0 8.25 0 0 0 21 0 0 0 0 24 23 24
3 2 6 0 8.0833333333 1 0 1 24 0 1 1 0 10 13 17
0 0 1 0 9.0833333333 0 0 0 19 0 0 0 0 24 20 22
2 0 1 0 8.4166666667 1 0 0 20 0 0 0 0 21 21 19
0 0 0 0 9 0 0 0 24 1 0 0 0 21 18 18
0 1 0 0 8.25 1 0 0 25 0 0 0 0 19 20 24
3 4 1 0 8.9166666667 1 0 0 23 0 0 0 0 22 24 21
1 2 2 0 8.1666666667 0 0 0 20 0 0 0 0 23 21 19
1 0 3 0 9.9166666667 0 0 0 17 0 0 0 1 24 22 24
0 0 0 0 8.1666666667 1 0 0 22 1 0 0 0 23 20 22
1 3 3 0 9.5 1 0 0 23 0 0 0 1 16 20 19
1 3 3 0 9.8333333333 0 0 1 18 0 1 1 0 20 22 21
1 0 0 0 9 1 0 0 20 0 0 0 0 21 24 19
0 3 1 1 8 0 0 0 20 0 0 0 0 22 21 22
4 4 4 1 9.0833333333 0 0 0 18 1 1 1 1 17 20.4 20
2 5 3 0 9.1666666667 0 1 1 17 0 0 0 0 22 17 19
1 1 2 1 10 1 0 0 19 0 0 0 1 22 22 20
3 4 3 1 9.1666666667 0 0 0 21 1 1 1 1 19 17 21
4 3 4 0 9.3333333333 0 0 0 23 1 1 1 1 22 22 17
1 0 2 0 8.4166666667 1 0 0 23 1 0 0 0 21 15 20
6 4 4 1 9.8333333333 0 0 0 16 1 1 1 0 20 21 20
1 0 1 0 8.75 0 0 0 22 0 0 0 0 24 24 21
1 0 0 0 8.0833333333 0 0 0 19 1 0 0 0 24 24 23
1 0 0 0 9.6666666667 1 0 0 22 0 0 0 0 24 19 21
2 0 0 0 9.3333333333 0 0 1 20 0 1 1 0 16 12 17
0 0 0 0 9 0 0 1 23 0 0 0 0 19 21 24
0 0 0 0 8.6666666667 1 0 1 17 0 0 0 0 18 17 24
2 1 0 0 9 0 0 0 24 0 0 0 0 22 20 20
5 4 1 0 8.8333333333 0 0 1 17 1 1 1 0 18 23 21
1 0 0 0 9.1666666667 0 0 0 18 0 0 0 0 20 23 22
0 2 2 0 8.8333333333 1 0 0 18 0 0 0 0 20 18 13
2 0 0 0 9.75 1 0 0 20 0 0 0 1 22 24 24
1 0 0 0 9.25 0 1 1 18 0 0 0 0 22 24 23
0 0 0 0 8.75 0 1 1 19 0 1 1 1 19 13 20
4 4 5 0 9.8333333333 1 1 0 17 1 1 1 1 19 16 20
0 1 2 0 8.8333333333 1 1 0 22 0 0 0 0 24 18 24
5 5 6 0 9 0 1 0 20 1 1 0 0 22 14 24
3 5 5 0 9.75 0 1 0 18 0 0 0 0 19 8 20
1 1 3 0 9.5833333333 0 1 0 20 0 0 0 0 21 24 24
2 1 3 0 9.4166666667 0 0 0 19 1 0 0 0 23 24 19
0 0 2 0 10 1 0 1 16 0 0 0 0 19 22 20
1 2 4 0 9.8333333333 0 0 0 19 0 0 0 0 14 16 16
