lwage1 lwage2 lwage3 lwage4 lwage5 mar1 mar2 mar3 mar4 mar5 male edu1 edu2 edu3 edu4 edu5 urb1 urb2 urb3 urb4 urb5
1.8718022 2.0349321 2.0515733 2.1154649 2.8848825 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.8405497 1.8675363 1.8792021 1.8925897 1.9589727 1 1 1 1 1 0 12 12 12 12 12 0 0 0 0 0
1.7137979 2.2725074 2.3212368 2.2868061 2.4540617 0 0 0 0 0 1 12 12 12 12 12 0 0 0 0 0
2.004179 2.0621278 2.1093929 2.2555535 2.314904 1 1 1 1 1 0 14 14 14 14 14 1 1 1 1 1
1.8702625 2.0718367 2.1975272 2.1779201 2.1853328 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.838961 1.8924096 2.1512032 2.0197248 2.2335582 1 1 1 1 1 1 10 10 10 10 10 0 0 0 0 1
1.678964 1.3442882 1.4274191 1.2061316 1.5755672 0 0 0 1 1 0 12 12 12 12 12 1 1 1 1 1
1.83737 1.829796 1.6134375 1.7169572 1.6625787 1 1 1 1 1 0 13 13 13 13 13 1 1 1 1 1
1.3217559 1.3567108 1.6280898 2.1471798 2.4357686 0 0 0 0 0 1 16 17 18 18 18 1 1 1 1 1
1.6639261 2.0802555 1.7283463 1.868132 2.1336234 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
2.4740143 2.242415 2.4090812 2.0137973 2.4525499 0 1 1 1 1 1 12 12 12 13 13 1 1 1 1 1
1.704748 1.373847 2.1360021 2.4353821 2.4563251 0 0 0 0 0 1 15 15 16 16 16 1 1 1 1 1
1.4770488 1.7905753 1.9382447 2.2685409 2.2732496 0 0 0 0 0 1 12 13 14 15 15 0 1 1 1 1
1.5581446 1.7019626 1.7623028 1.9958003 2.2288389 0 0 1 1 1 0 12 12 12 12 12 1 1 1 1 1
.97832614 1.0227046 2.7855425 .94216603 .6592766 0 0 0 0 0 0 14 14 14 14 14 1 0 1 0 0
2.4849067 2.3959835 2.5995572 2.1738756 2.3088088 0 0 0 0 0 1 13 14 14 15 15 1 1 1 1 1
1.3217559 1.7905753 1.6585307 2.0534294 2.3448334 0 0 0 0 0 0 16 16 16 16 16 1 1 1 1 1
1.3862944 1.1053963 1.9475348 2.0291367 2.4705415 0 0 0 0 0 0 15 15 15 15 15 1 1 1 1 1
1.5368673 1.9728968 2.0809009 1.9848446 2.0954428 0 0 0 0 0 1 13 14 14 15 16 1 1 1 1 1
2.0681279 2.1406686 2.0912519 2.5495183 2.5654464 0 0 1 1 1 1 16 16 16 16 16 1 1 1 1 1
1.6094379 1.9237065 1.6863586 2.1839564 2.1336234 0 0 0 0 0 1 12 12 13 13 13 1 1 1 1 1
2.2159374 2.2794006 2.5588212 2.6525798 2.8917317 0 0 0 0 0 0 17 18 18 19 20 1 1 1 1 1
1.2809339 1.2221205 1.4793787 1.3312947 2.2650714 0 0 0 0 0 1 9 9 9 9 9 0 0 0 0 1
2.1198635 2.0778573 2.043205 2.1869607 1.9120395 0 0 0 0 0 1 9 9 9 9 9 1 1 1 1 1
1.8325815 1.2107568 1.3981047 1.6761352 1.7426214 0 0 0 1 1 1 12 12 12 12 12 1 1 1 1 1
1.2383742 -.04200618 1.4623572 1.9811659 1.9773895 1 1 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.2725656 1.2663267 1.3702606 -.30195391 1.5791972 1 1 1 1 1 0 12 12 12 12 12 1 1 1 1 0
2.3025851 2.3513334 2.3998802 -1.1372755 2.239192 1 1 1 1 1 1 14 14 14 14 14 1 1 1 1 1
1.5789787 1.7497534 1.755923 1.7638408 1.6937543 0 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
2.0579624 1.9979146 1.9697434 2.0197248 1.8167294 0 1 1 1 1 1 12 12 12 12 12 1 1 1 1 1
2.0881534 2.093343 2.2348864 2.444699 2.8272908 0 0 0 0 1 1 16 16 16 16 16 1 1 1 1 1
1.5851452 1.6275856 1.7575219 2.0959413 2.1051254 0 0 0 0 1 1 12 12 12 12 12 1 1 1 1 1
1.6094379 2.0374353 1.4666398 1.4425203 2.0167506 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.7917595 1.6369579 1.268814 2.1626682 1.8923668 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.446919 1.0566062 1.7234 2.0372999 2.2732496 0 0 0 0 0 1 11 12 12 12 12 1 1 1 1 1
1.2383742 1.1669542 1.1902893 1.1653095 1.7034007 0 0 0 0 0 0 12 12 13 14 14 1 1 1 1 1
1.3558352 1.3317094 1.3702606 1.4425203 1.4802572 0 0 0 0 0 1 11 11 11 11 11 1 1 1 1 1
1.704748 1.7497534 1.5623384 1.7169572 1.8167294 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
2.2246234 2.2605789 2.4272337 2.4600368 2.5084469 1 1 1 1 1 1 12 12 12 12 12 1 1 1 1 1
2.0794415 2.2092855 2.0634079 1.9638172 2.3965478 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.5040774 1.7261435 1.1761047 1.1872884 1.4802572 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.8325815 1.6861033 1.7397938 1.7437938 1.793607 0 0 1 1 1 1 16 16 16 16 16 0 0 0 0 0
2.1690538 1.9334627 2.0809009 2.041935 2.1734042 0 0 1 1 1 0 16 16 16 16 16 1 1 1 1 1
2.2093728 2.0874152 2.216886 2.1218886 2.1941869 0 0 0 0 1 0 12 12 12 12 12 1 1 1 0 1
2.0014801 2.1695595 2.0527632 2.1218886 2.1823642 0 0 0 0 0 0 14 14 14 14 14 1 1 1 1 1
1.8718022 1.8675363 1.8505057 1.2855586 2.1336234 0 0 1 1 1 0 13 14 14 15 15 1 1 1 1 1
1.8625286 1.7613525 1.8692518 1.8777145 2.5828614 1 1 1 1 1 1 12 12 12 12 12 1 1 1 1 1
1.8325815 2.1190155 2.1205664 2.1869607 2.2410629 0 0 0 0 0 0 12 12 12 12 12 1 1 1 0 1
1.2089603 1.9728968 1.2714148 1.4938136 1.9502608 0 0 0 0 0 1 11 11 11 11 11 1 1 1 1 1
2.0693913 2.0886037 2.2259266 2.4870653 2.451036 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
2.1690538 2.5480111 2.2259266 2.103579 2.1083324 0 0 0 0 0 1 11 11 11 11 11 1 1 1 1 1
2.4458191 2.4029462 2.6199939 2.5355027 2.7683871 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.8640801 1.903904 1.8104113 2.2822709 2.2687144 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
.78390157 1.2982442 1.5929335 2.1218886 1.7034007 0 0 0 1 1 1 12 12 12 12 12 1 1 1 1 1
1.7630169 2.4003408 2.4625785 2.6847012 2.6619842 0 0 0 0 0 0 15 16 16 16 16 1 0 0 1 1
1.7491999 .87428451 1.5327796 1.4938136 1.5755672 0 0 0 0 0 1 10 10 10 10 10 1 1 1 1 1
1.704748 1.7071937 1.8194611 1.7983528 1.5755672 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
