53 0 0 16 1 82.5 . 5 6 0 0 1 6
26 7 0 16 1 200 16 5 5 1 1 1 1
59 3 1 13 2 45 . 6 5 0 0 1 1
56 3 2 16 . 200 12 5 4 1 1 1 .
74 4 3 17 1 . 8 3 4 1 1 1 3
56 1 1 17 1 200 16 6 5 1 1 1 6
63 3 2 12 . . . 6 6 0 1 1 .
34 3 2 17 . 82.5 12 . 4 0 1 1 .
37 0 4 10 4 16.25 . 3 4 1 0 1 2
30 3 3 15 1 100 . 3 3 1 1 0 6
43 7 2 5 3 11.25 2 3 6 1 1 0 0
56 0 0 11 4 11.25 12 3 4 0 0 1 .
69 3 5 8 2 18.75 4 3 3 0 0 1 5
40 0 2 11 2 23.75 . 1 3 1 1 1 6
25 2 0 16 . 27.5 12 3 4 1 0 1 .
56 0 3 16 . 67.5 6 6 6 0 1 1 .
51 8 3 13 1 82.5 12 1 7 1 0 0 .
46 0 0 13 2 200 12 3 4 0 0 1 3
51 5 2 14 . 27.5 . 4 3 0 1 1 .
39 8 2 8 1 7.5 12 1 4 1 0 0 6
30 7 2 14 1 23.75 16 3 4 1 0 0 3
36 0 3 12 . . 12 4 6 1 0 1 .
42 6 3 11 2 11.25 6 1 4 1 0 1 3
38 2 0 14 1 32.5 . 1 2 0 0 0 3
38 4 2 15 2 32.5 12 0 2 1 0 1 6
28 0 0 18 1 1 . 2 4 1 0 0 0
35 2 2 13 2 23.75 16 3 4 0 0 1 .
57 8 6 16 . 120 16 5 6 0 1 1 .
50 2 2 15 2 200 10 2 3 0 1 1 6
54 0 1 16 1 45 18 2 1 0 0 1 6
. 1 0 17 2 100 8 3 6 1 1 1 4
61 6 3 16 2 82.5 12 2 5 1 0 1 6
54 2 0 16 2 200 12 5 4 1 0 1 6
47 3 2 16 2 . 6 . 4 0 1 1 2
53 7 2 12 . 55 8 1 4 0 1 0 .
37 7 2 12 2 . . 3 1 1 1 0 2
38 8 2 11 2 67.5 6 3 3 1 0 0 .
31 0 0 14 . 100 15 4 4 0 0 1 .
69 5 2 10 3 32.5 . 5 4 1 0 1 4
35 4 1 16 2 200 12 1 2 0 1 1 4
61 5 2 17 2 . 12 4 4 1 1 1 6
80 7 3 14 2 55 0 6 5 0 1 1 6
59 4 0 11 4 . 9 3 . 0 0 1 3
26 0 0 14 . . 12 2 1 0 0 1 .
50 7 1 16 1 120 12 6 2 1 0 1 2
